country_code,country_name,year,month,temperature
LU,Luxembourg,2019,5,10.732159845290646
LU,Luxembourg,2019,6,18.18739252090454
LU,Luxembourg,2019,7,18.706411761622274
LU,Luxembourg,2019,8,18.026122616183372
LU,Luxembourg,2019,9,13.419812806447347
LU,Luxembourg,2019,10,10.479372609046198
LU,Luxembourg,2019,11,4.511013352622589
LU,Luxembourg,2019,12,3.8170565712836484
LU,Luxembourg,2020,1,3.465472435398448
LU,Luxembourg,2020,2,4.913052077951103
LU,Luxembourg,2020,3,5.4854130475751814
LU,Luxembourg,2020,4,10.995349820454916
LU,Luxembourg,2020,5,12.347732113253686
LU,Luxembourg,2020,6,15.895598538716634
LU,Luxembourg,2020,7,17.40310976582189
LU,Luxembourg,2020,8,19.882782505404563
LU,Luxembourg,2020,9,15.160229365030926
LU,Luxembourg,2020,10,9.795674523999613
LU,Luxembourg,2020,11,6.087808881203334
LU,Luxembourg,2020,12,3.8136763019907862
LU,Luxembourg,2021,1,0.9863008316005432
LU,Luxembourg,2021,2,3.6045657524040764
LU,Luxembourg,2021,3,4.976673176211695
LU,Luxembourg,2021,4,6.057447315255802
LU,Luxembourg,2021,5,9.797120924918882
LU,Luxembourg,2021,6,18.208448060353597
LU,Luxembourg,2021,7,16.965484188448997
LU,Luxembourg,2021,8,15.92067773880497
LU,Luxembourg,2021,9,14.69739589691162
LU,Luxembourg,2021,10,9.244878307465584
LU,Luxembourg,2021,11,4.086334302028019
LU,Luxembourg,2021,12,3.7511278852339713
LU,Luxembourg,2022,1,1.8135153939647057
LU,Luxembourg,2022,2,4.2013848168509345
LU,Luxembourg,2022,3,5.594088163587354
LU,Luxembourg,2022,4,7.987282924501536
LU,Luxembourg,2022,5,14.044024467468262
LU,Luxembourg,2022,6,17.154429562886556
LU,Luxembourg,2022,7,18.854525873737952
LU,Luxembourg,2022,8,19.782718012409827
LU,Luxembourg,2022,9,12.816008551915486
LU,Luxembourg,2022,10,11.704642034346058
LU,Luxembourg,2022,11,7.008009274800619
LU,Luxembourg,2022,12,2.1588946594105605
LV,Latvia,2015,1,-0.9945652277599417
LV,Latvia,2015,2,-0.526445428441678
LV,Latvia,2015,3,3.412984923489632
LV,Latvia,2015,4,6.022688178221383
LV,Latvia,2015,5,10.46452171571793
LV,Latvia,2015,6,14.471076933542887
LV,Latvia,2015,7,16.344879796428064
LV,Latvia,2015,8,17.884375110749275
LV,Latvia,2015,9,13.024036757151286
LV,Latvia,2015,10,5.197244274039422
