DATAFLOW,LAST UPDATE,freq,unit,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2012-04,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2012-05,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2012-06,0.58,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2012-07,0.30,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2012-08,12.42,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2012-09,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2012-10,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2012-11,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2012-12,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2013-01,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2013-02,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2013-03,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2013-04,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2013-05,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2013-06,1.31,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2013-07,7.03,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2013-08,7.32,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2013-09,1.09,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2013-10,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2013-11,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2013-12,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2014-01,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2014-02,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2014-03,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2014-04,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2014-05,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2014-06,0.33,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2014-07,7.87,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2014-08,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2014-09,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2014-10,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2014-11,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Belgium,2014-12,0.00,
